siRNA,replicate,infected,IFNB1_24h,ORF1b_24b
NTC -,1,FALSE,-13.7857654,-17.1224163
NTC -,2,FALSE,-13.76793842,-16.62134393
NTC -,3,FALSE,-13.25272952,-17.35741063
NELF -,1,FALSE,-13.17725924,-15.93642604
NELF -,2,FALSE,-12.44889168,-16.12055687
NELF -,3,FALSE,-12.67075451,-16.62293048
NTC +,1,TRUE,-13.13132632,2.524387995
NTC +,2,TRUE,-10.63804465,3.124422423
NTC +,3,TRUE,-11.34112827,3.499659841
NELF +,1,TRUE,-12.92838665,1.698438337
NELF +,2,TRUE,-12.8597171,1.58605396
NELF +,3,TRUE,-10.30938392,0.993119602
